title,author,date,link,venue
Characterizing Student Development Progress: Validating Student Adherence to Project Milestones,"Bradley Erickson, Sarah Heckman, Collin F. Lynch",2/22/2022,https://doi.org/10.1145/3478431.3499373,SIGCSE 2022: Proceedings of the 53rd ACM Technical Symposium on Computer Science Education
Admitting you have a problem is the first step: Modeling when and why students seek help in programming assignments.,"Zhikai Gao, Bradley Erickson, Yiqiao Xu, Collin F. Lynch, Sarah Heckman, Tiffany Barnes",7/24/2022,https://doi.org/10.5281/zenodo.6853173,Proceedings of the 15th International Conference on Educational Data Mining
